name,population,latitude,longitude,dst_offset,raw_offset,total_offset,timezone,sunset_utc
amravati,603885.0,20.933333,77.75,0,19800,19800,0,1406726880
rotterdam,603851.0,51.916667,4.5,3600,3600,7200,0,1406748900
abu dhabi,603687.0,24.466667,54.366667,0,14400,14400,0,1406732820
hai phong,602718.0,20.856111,106.682222,0,25200,25200,0,1406719920
orumiyeh,602443.0,37.5553,45.0724,3600,12600,16200,0,1406736600
kirkuk,601442.0,35.4680556,44.3922222,0,10800,10800,0,1406736480
barnaul,599586.0,53.360556,83.763611,0,25200,25200,0,1406730120
charlotte,598351.0,35.2269444,-80.8433333,3600,-18000,-14400,0,1406766480
el paso,597181.0,31.7586111,-106.4863889,3600,-25200,-21600,0,1406772180
luancheng,597130.0,37.879167,114.651667,0,28800,28800,0,1406719860
mexicali,597124.0,32.651944,-115.468333,3600,-28800,-25200,0,1406774460
hermosillo,595833.0,29.066667,-110.966667,0,-25200,-25200,0,1406776560
rasht,594619.0,37.280769,49.58319,3600,12600,16200,0,1406735460
dortmund,594255.0,51.516667,7.45,3600,3600,7200,0,1406748060
kayseri,593164.0,38.732222,35.485278,3600,7200,10800,0,1406739060
abeokuta,593140.0,7.15,3.35,0,3600,3600,0,1406743560
morelia,592820.0,19.7,-101.116667,3600,-21600,-18000,0,1406769660
stuttgart,591688.0,48.766667,9.183333,3600,3600,7200,0,1406747040
yingkou,591159.0,40.637318,122.502508,0,28800,28800,0,1406718360
chimalhuacan,590165.0,19.416667,-98.9,3600,-21600,-18000,0,1406769120
zhangzhou,589831.0,24.513333,117.655556,0,28800,28800,0,1406717640
vladivostok,587029.0,43.128056,131.901111,0,39600,39600,0,1406716500
irkutsk,586702.0,52.297778,104.296389,0,32400,32400,0,1406724960
belfast,585994.0,54.583333,-5.933333,3600,0,3600,0,1406752080
genoa,585815.0,44.416667,8.95,3600,3600,7200,0,1406746260
blantyre,584870.0,-15.7833333,35.0,0,7200,7200,0,1406734080
kingston,583999.0,18.0,-76.8,0,-18000,-18000,0,1406763720
chiclayo,582597.0,-6.7736111,-79.8416667,0,-18000,-18000,0,1406762400
culiacan,582489.0,24.799444,-107.389722,3600,-25200,-21600,0,1406771700
hachioji,579402.0,35.655833,139.323889,0,32400,32400,0,1406713680
milwaukee,579180.0,43.0388889,-87.9063889,3600,-21600,-18000,0,1406769300
xiamen,578337.0,24.479794,118.081869,0,28800,28800,0,1406717520
khabarovsk,578307.0,48.480833,135.092778,0,39600,39600,0,1406716740
libreville,578156.0,0.3833333,9.45,0,3600,3600,0,1406741520
kerman,577547.0,30.283209,57.07879,3600,12600,16200,0,1406732820
dusseldorf,577139.0,51.216667,6.766667,3600,3600,7200,0,1406748180
kaifeng,576915.0,34.744167,114.418611,0,28800,28800,0,1406719500
essen,576914.0,51.45,7.016667,3600,3600,7200,0,1406748180
bengbu,576648.0,32.940833,117.360833,0,28800,28800,0,1406718600
bikaner,576056.0,28.016667,73.3,0,19800,19800,0,1406728680
banjarmasin,572910.0,-3.333333,114.583333,0,28800,28800,0,1406716020
shihezi,572772.0,44.3,86.033333,0,28800,28800,0,1406727720
bouake,572149.0,7.693846,-5.030307,0,0,0,0,1406745600
bucaramanga,571827.0,7.125393,-73.119804,0,-18000,-18000,0,1406761860
boston,571281.0,42.3583333,-71.0602778,3600,-18000,-14400,0,1406765100
kuching,570579.0,1.55,110.333333,0,28800,28800,0,1406717400
poznan,570352.0,52.416667,16.966667,3600,3600,7200,0,1406746020
seattle,569369.0,47.6063889,-122.3308333,3600,-28800,-25200,0,1406778360
veracruz,568336.0,19.2,-96.133333,3600,-21600,-18000,0,1406768460
asmara,563948.0,15.3333333,38.9333333,0,10800,10800,0,1406735700
sokoto,563899.0,13.048025,5.214285,0,3600,3600,0,1406743560
uberlandia,563545.0,-18.916667,-48.3,0,-10800,-10800,0,1406753820
onitsha,561106.0,6.14543,6.788452,0,3600,3600,0,1406742660
funabashi,560754.0,35.693056,139.983333,0,32400,32400,0,1406713500
sorocaba,558874.0,-23.483333,-47.45,0,-10800,-10800,0,1406753160
helsinki,558457.0,60.175556,24.934167,3600,7200,10800,0,1406746620
malaga,557875.0,36.726666,-4.434802,3600,3600,7200,0,1406748360
warangal,557864.0,18.0,79.583333,0,19800,19800,0,1406726160
denver,555981.0,39.7391667,-104.9841667,3600,-25200,-21600,0,1406772840
santiago,555911.0,19.45,-70.7,0,-14400,-14400,0,1406762340
santiago de cuba,555878.0,20.0247222,-75.8219444,3600,-18000,-14400,0,1406763660
surakarta,555368.0,-7.556111,110.831667,0,25200,25200,0,1406716560
huaiyin,555230.0,33.588611,119.019167,0,28800,28800,0,1406718300
bhavnagar,555014.0,21.766667,72.15,0,19800,19800,0,1406728320
bahawalpur,552765.0,29.4,71.683333,0,18000,18000,0,1406729220
washington,552433.0,38.895,-77.0366667,3600,-18000,-14400,0,1406766060
ribeirao preto,551278.0,-21.166667,-47.8,0,-10800,-10800,0,1406753460
aden,550744.0,12.7794444,45.0366667,0,10800,10800,0,1406734020
jiamusi,549549.0,46.833333,130.35,0,28800,28800,0,1406717520
